MaterialID,MTitle,MShared,MaterialType,MDCGSID_ENname
134311,Scratch x STEAM學科主題課程  四下/五下匯集體驗課,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134327,Amanda（上）-三月各星座職涯運勢分析LIVE講座：讓ELLE專欄作家手把手帶你避開水逆,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134329,LARA:聲音影響力系列 | 培養Clubhouse 從0到1的行銷實戰力,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134330,鍾曉雲：直播經濟學系列 | 從0到1的網紅必備技能,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134331,Amanda（下）-三月各星座職涯運勢分析LIVE講座：讓ELLE專欄作家手把手帶你避開水逆,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134332,魏俊年-年後保臉理財講座,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134351,Mazu: Goddess of the Sea,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134365,國小五年級_STEAM學科主題課程_四季星星,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
134399,從0開始的男生化妝術(下)：Cosplay專用的男角化妝術,Share,Adult,"Travel and Transportation/**/Housing, Home, and Community/**/Beauty and Cosmetics/**/AI & Big Data/**/Cross-Cultural Communication/**/People and Relationships/**/Geography and Weather/**/TOEIC/**/Management/**/Countries, Cities, and Towns/**/AI&Big Data/**/Politics, Government, and Law/**/Everyday Language/**/Money Management/**/Business, Industry and Finance/**/Shopping and Style/**/Soft Skills in the Workplace/**/Careers and Jobs/**/Nature/**/Family Education/**/History & Culture/**/Fashion/**/Green Living/**/Countries, Cities and Towns/**/Art & Entertainment/**/Plants and Animal/**/E-commerce/**/Culture, History, and Religion/**/Training, Education and School/**/Self-Improvement/**/New Marketing/**/Arts and Entertainment/**/Sports and Recreation/**/Health, Fitness and Medicine/**/Health & Medicine/**/Sport/**/Aerospace and Aviation/**/Real Estate Investment/**/Literature/**/Science, Technology, and Computers/**/Housing, Home and Community/**/Food and Cooking/**/Fun/Interesting stuff"
100593,Body Vocabulary,Jr. and Non-share,Junior,Everyday Language
100717,What Makes a Community? (Discussion),Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
100987,Everyday English - Watching TV and Renting DVDs,Jr. and Non-share,Junior,Technology and Computers/**/Everyday Language
101188,Grammar:  Uses of EVEN,Jr. and Non-share,Junior,Everyday Language
101207,Discussion Topic:  Can Cell Phones Cause Brain Tumors?,Jr. and Non-share,Junior,Technology and Computers/**/Everyday Language/**/Science
101444,3 Orange Syllabus Unit 9R:  Are You Busy?,Jr. and Non-share,Junior,Everyday Language
101491,Conversation Questions:  Fears,Jr. and Non-share,Junior,Everyday Language
102899,Feelings and Emotions 2,Jr. and Non-share,Junior,Everyday Language
103126,Humans on Display,Jr. and Non-share,Junior,Everyday Language
103549,Conversation: Do You Like English?,Jr. and Non-share,Junior,General school training/**/Everyday Language
103571,Pronunciation Series 18 - GE and J Sounds,Jr. and Non-share,Junior,Everyday Language
104042,In a hospital,Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
104459,Grammar Lesson: The - 2,Share,Junior,Everyday Language
107206,What are you doing & What do you do every day? - Understanding Present Tenses,Jr. and Non-share,Junior,General school training/**/Everyday Language
107212,The Princess and the Pea,Jr. and Non-share,Junior,Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
107224,Can you tell me the time?,Jr. and Non-share,Junior,General school training/**/Everyday Language
107256,Guess My Job,Jr. and Non-share,Junior,Jobs/**/General school training/**/Everyday Language
107333,Frequency,Jr. and Non-share,Junior,General school training/**/Everyday Language
107362,Sharks,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
107373,Talking About Routines and Temporary Situations,Jr. and Non-share,Junior,General school training/**/Everyday Language
107383,Sand Doodles - Beach Art,Jr. and Non-share,Junior,"Culture, History, and Religion/**/History & Culture/**/Social studies/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language"
107397,The King of Pop and Dance,Jr. and Non-share,Junior,People and Relationships/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
107420,I'm Thirsty!,Jr. and Non-share,Junior,General school training/**/Everyday Language
107506,Consonant Clusters,Jr. and Non-share,Junior,General school training/**/Everyday Language
107830,Exotic Animals,Jr. and Non-share,Junior,Everyday Language
108822,Special Session: How to Score High on the Beginner's GEPT - Listening VIII ,Share,Junior,"Training, Education and School"
109070,Talking About Things In the Past,Jr. and Non-share,Junior,General school training/**/Everyday Language
110117,Fun at Home,Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/General school training/**/Everyday Language"
110207,A Flock of Birds,Jr. and Non-share,Junior,General school training/**/Everyday Language
110434,Fun Activities,Jr. and Non-share,Junior,"Interesting, Fun and games/**/General school training/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language"
110457,Who Did Patrick`s Homework?,Jr. and Non-share,Junior,People and Relationships/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
110628,No Man's Land,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Geography/**/Everyday Language"
110692,Caps and Hats (Short Vowel A),Jr. and Non-share,Junior,General school training/**/Everyday Language
110929,Nightmare,Jr. and Non-share,Junior,Everyday Language
111329,My Kite Flies Away,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
111381,I Have A Shell,Jr. and Non-share,Junior,People and Relationships/**/Art & Entertainment/**/Arts and Entertainment
111837,Special Session - GEPT Listening 10,Share,Junior,"Training, Education and School/**/Everyday Language"
111925,The Crystal Ball,Jr. and Non-share,Junior,"People and Relationships/**/Housing, Home, and Community/**/Interesting, Fun and games/**/Housing, Home and Community"
112001,Holly the Hippo,Jr. and Non-share,Junior,"Housing, Home, and Community/**/Travel and Transportation/**/Housing, Home and Community/**/Food and Cooking/**/Everyday Language"
112042,Let's Go to School,Jr. and Non-share,Junior,"General school training/**/Interesting, Fun and games/**/Everyday Language"
112151,Making Rubbish Look Cool,Jr. and Non-share,Junior,Fashion/**/Sport/**/Shopping and Style/**/Sports and Recreation
112154,Cambridge YLE Flyers: Listening—matching,Share,Junior,"Training, Education and School/**/English Proficiency Test/**//**/Everyday Language"
112284,Studying Abroad: Spain,Jr. and Non-share,Junior,"Travel and Transportation/**/Culture, History, and Religion/**/History & Culture/**/Food and Cooking/**/Countries, Cities, and Towns/**/Countries, Cities and Towns"
112715,Bizarre Concoctions ,Jr. and Non-share,Junior,Food and Cooking
113245,Using Adjectives,Jr. and Non-share,Junior,Everyday Language
113264,TJ the Turtle Takes a Trip to Costa Rica,Jr. and Non-share,Junior,Travel and Transportation
113265,TJ the Turtle Takes a Trip to Egypt!,Jr. and Non-share,Junior,Travel and Transportation
113269,Giving and Sharing,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
113281,Vocabulary Themes: Bakery,Jr. and Non-share,Junior,Food and Cooking
113422,The Story of the Hot Dog,Jr. and Non-share,Junior,"People and Relationships/**/History/**/Interesting, Fun and games/**/Food and Cooking"
113474,Our Senses,Jr. and Non-share,Junior,People and Relationships
113564,At the Zoo. Synonyms and Antonyms,Jr. and Non-share,Junior,Everyday Language
113702,Give Your Opinion!Some of the Most Interesting Inventions,Jr. and Non-share,Junior,"Technology and Computers/**/Culture, History, and Religion/**/History & Culture"
113943,Rhyme Time,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
114042,Burst Into. Phrasal Verb of the Day,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
114047,Garden Accessories: What Do You Have In Your Garden?,Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
114128,What are you like?,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
114135,King Lion and the Ladybug. Comparative Adjectives,Jr. and Non-share,Junior,Everyday Language
114139,Chores! Prepositions of Place,Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
114142,This is the Place Where I Want to Be,Jr. and Non-share,Junior,Everyday Language
114171,The Town Mouse and the Country Mouse. The Simple Life!,Jr. and Non-share,Junior,People and Relationships/**/Art & Entertainment/**/Arts and Entertainment/**/Food and Cooking
114354,More on How to Use the Verb ,Jr. and Non-share,Junior,Everyday Language
114536,Louis Pasteur,Jr. and Non-share,Junior,Technology and Computers/**/Everyday Language/**/Food and Cooking
114538,Aesop's Fables: The Worker & the Snake ,Jr. and Non-share,Junior,Everyday Language
114540,Nessie,Jr. and Non-share,Junior,"Interesting, Fun and games"
114573,Pirate Peter,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
114581,Culinary: Cheap and Quick International Cuisine,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Food and Cooking"
114642,Naughty Gina,Jr. and Non-share,Junior,Everyday Language
114694,Spring is here!,Jr. and Non-share,Junior,Everyday Language
114810,Has the Loch Ness Monster Moved to London? (Grammar: Present Perfect),Jr. and Non-share,Junior,"Housing, Home, and Community/**/Housing, Home and Community/**/Interesting, Fun and games/**/Art & Entertainment/**/Arts and Entertainment/**/Everyday Language"
114860,My Body,Jr. and Non-share,Junior,Everyday Language
114882,Exercise,Jr. and Non-share,Junior,"Health, Fitness and Medicine/**/Health & Medicine"
114930,Where are you from?,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Food and Cooking"
114936,The magic box (past tense of verbs),Jr. and Non-share,Junior,Everyday Language
114948,Jolleyball,Jr. and Non-share,Junior,Sport/**/Everyday Language/**/Sports and Recreation
114955,City and Country,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Countries, Cities and Towns"
114973,Midsummer Festival in Finland (grammar: However),Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Countries, Cities and Towns"
115024,Holi Festival in India,Jr. and Non-share,Junior,"Culture, History, and Religion/**/History & Culture/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
115039,Travel Iceland,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
115043,Travel Paris,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
115398,My Axe is Older Than Yours,Jr. and Non-share,Junior,"Interesting, Fun and games/**/People and Relationships/**/Art & Entertainment/**/Arts and Entertainment"
115785,Careers - Pilot,Jr. and Non-share,Junior,Travel and Transportation/**/Everyday Language
116165,Tilly and Elly (story),Jr. and Non-share,Junior,Everyday Language
116270,How much/How many,Jr. and Non-share,Junior,Everyday Language
117347,JR Special Session Hey Diddle Diddle  (level 1-3),Share,Junior,Everyday Language
117349,JR Special Session I'm a Little Teapot  (level 1-3),Share,Junior,Everyday Language
117457,Technology - Old vs. New Video games ,Jr. and Non-share,Junior,Technology and Computers/**/Everyday Language
117505,Fun With Words - Letter T,Jr. and Non-share,Junior,Everyday Language
117661,Sweden - first fossil-free country,Jr. and Non-share,Junior,"Technology and Computers/**/Countries, Cities, and Towns/**/Countries, Cities and Towns/**/Everyday Language"
117731,Everyday Language - Shopping Mall ,Jr. and Non-share,Junior,Fashion/**/Shopping and Style/**/Everyday Language
118030,"Present Perfect Simple and Continuous: Ought, Should, Had Better",Jr. and Non-share,Junior,Everyday Language
118091,The Solar System - Planets,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Science"
118127,Crazy Cats (grammar: making questions in present cont. tense),Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
118273,Apples and Bananas,Jr. and Non-share,Junior,Everyday Language/**/Food and Cooking
118507,Fun With Words - Blends ,Jr. and Non-share,Junior,Everyday Language
118902,Boog's Birthday Bash,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
119039,JR Special Session -  Story corner - The Thirsty Crow 4-8,Share,Junior,
119297,My neighborhood,Jr. and Non-share,Junior,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
119502,Let's eat a sandwich [Silent D],Jr. and Non-share,Junior,Everyday Language
119605,Newspapers (Vocabulary),Jr. and Non-share,Junior,Everyday Language
119617,Test your vocabulary,Jr. and Non-share,Junior,Everyday Language
119756,Eating,Jr. and Non-share,Junior,Everyday Language/**/Food and Cooking
120350,Reputation,Jr. and Non-share,Junior,Everyday Language
120478,Phonics: Qu vs Wr,Jr. and Non-share,Junior,Everyday Language
120482,Phonics: Scr vs Spr vs Str,Jr. and Non-share,Junior,Everyday Language
120494,Ss vs Sh,Jr. and Non-share,Junior,Everyday Language
120738,Past Simple Versus Present Perfect,Jr. and Non-share,Junior,Everyday Language
121066,Objects,Jr. and Non-share,Junior,Everyday Language
121420,The fashion competition! Put on and take off! ,Jr. and Non-share,Junior,Fashion/**/Shopping and Style/**/Everyday Language
121659,Present  Simple,Jr. and Non-share,Junior,Everyday Language
121864,Exclamatory Sentences,Jr. and Non-share,Junior,Everyday Language
121885,Past Simple-Regular Verbs,Jr. and Non-share,Junior,Everyday Language
123134,"These, Those",Jr. and Non-share,Junior,Everyday Language
123198,List of Interjections and How to Use Them,Jr. and Non-share,Junior,Everyday Language
123253,Transportation Verbs - Present Continuous Tense,Jr. and Non-share,Junior,Everyday Language
123422,My summer trip,Jr. and Non-share,Junior,Travel and Transportation/**/Everyday Language
123487,This and That,Jr. and Non-share,Junior,Everyday Language
123713,Healthy Food,Jr. and Non-share,Junior,"Health, Fitness and Medicine/**/Health & Medicine/**/Food and Cooking"
123731,Big C and small c,Jr. and Non-share,Junior,Everyday Language
123764,Big E and small e,Jr. and Non-share,Junior,Everyday Language
123768,Big F and small f,Jr. and Non-share,Junior,Everyday Language
123902,Big L and small l,Jr. and Non-share,Junior,Everyday Language
123982,"Melt it, freeze it!",Jr. and Non-share,Junior,Physics/**/Everyday Language
124488,Something smells fishy [Animal idioms],Jr. and Non-share,Junior,Everyday Language
124684,Holly Hippo Goes to the Beach [Verbs],Jr. and Non-share,Junior,Everyday Language
124695,The Porcupine,Jr. and Non-share,Junior,Everyday Language
124812,Short u syllables ,Jr. and Non-share,Junior,Everyday Language
125036,"This and These, That and Those",Jr. and Non-share,Junior,Everyday Language
125556,Emotions. I am Feeling....,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
125895,Cool Expressions with Parts of the Face,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
127043,The United Kingdom. All you need to know when visiting,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
127313,Scotland. All you need to know when visiting Scotland,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
127397,Chile. All you need to know!,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
127519,Emotions,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
127645,How to choose the perfect gift?,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
129421,This is my family,Jr. and Non-share,Junior,People and Relationships/**/Everyday Language
129425,What is for lunch today?,Jr. and Non-share,Junior,Everyday Language/**/Food and Cooking
129564,I want to be on a team.,Jr. and Non-share,Junior,Sport/**/Sports and Recreation
131560,Daily Life of a British family,Jr. and Non-share,Junior,"Culture, History, and Religion/**/Housing, Home, and Community/**/Housing, Home and Community/**/History & Culture/**/Everyday Language"
133309,Unique Means of Transportation,Jr. and Non-share,Junior,Travel and Transportation
133799,Vocabulary - Airport Travel,Jr. and Non-share,Junior,Travel and Transportation/**/Everyday Language
136039,Jr SS Amazing Animals: Hummingbirds,Share,Junior,Plants and Animal
136096,Dolphin,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
136755,Oxford Discover B3-U1-S3,Jr. and Non-share,Junior,Everyday Language
136758,Oxford Discover B3-U1-S5,Jr. and Non-share,Junior,Everyday Language
136763,Social Studies JRSS Travel by air,Share,Junior,Everyday Language
136851,Oxford Discover Book 1-U1-S2,Jr. and Non-share,Junior,Everyday Language
136865,Oxford Discover Book 1-U1-S6,Jr. and Non-share,Junior,Everyday Language
136954,Oxford Discover B4-U3-S2,Jr. and Non-share,Junior,Everyday Language
136998,The Pound Sterling,Jr. and Non-share,Junior,"Culture, History, and Religion/**/Social studies/**/History & Culture"
137238,Oxford Discover B4-U10-S2,Jr. and Non-share,Junior,Everyday Language
137239,Oxford Discover B4-U10-S3,Jr. and Non-share,Junior,Everyday Language
137241,Oxford Discover B4-U10-S5,Jr. and Non-share,Junior,Everyday Language
137242,Oxford Discover B4-U10-S6,Jr. and Non-share,Junior,Everyday Language
137245,Oxford Discover B4-U11-S2,Jr. and Non-share,Junior,Everyday Language
137246,Oxford Discover B4-U11-S3,Jr. and Non-share,Junior,Everyday Language
137248,Oxford Discover B4-U11-S5,Jr. and Non-share,Junior,Everyday Language
137249,Oxford Discover B4-U11-S6,Jr. and Non-share,Junior,Everyday Language
137270,Show and Tell Book 2-U3-S3,Jr. and Non-share,Junior,Everyday Language
137272,Show and Tell Book 2-U3-S5,Jr. and Non-share,Junior,Everyday Language
137275,Show and Tell Book 2-U3-S6,Jr. and Non-share,Junior,Everyday Language
137277,Oxford Discover B4-U13-S2,Jr. and Non-share,Junior,Everyday Language
137382,Foods from cows [Adjectives],Jr. and Non-share,Junior,"Interesting, Fun and games"
137595,Let's Go 5 Unit 3 Lesson 3,Jr. and Non-share,Junior,Everyday Language
137598,Let's go 5 Unit 3 Lesson 5,Jr. and Non-share,Junior,Everyday Language
137599,Let's go 5 Unit 3 Lesson 6,Jr. and Non-share,Junior,Everyday Language
137641,Oxford Discover B6-U8-S6 ,Jr. and Non-share,Junior,Everyday Language
137675,Oxford Discover B1-U10-S6,Jr. and Non-share,Junior,Everyday Language
137718,Let's go 4 Unit 2 Lesson 2,Jr. and Non-share,Junior,Everyday Language
137719,Let's go 4 Unit 2 Lesson 3,Jr. and Non-share,Junior,Everyday Language
137756,Oxford Discover B2-U11-S3,Jr. and Non-share,Junior,Everyday Language
137758,Oxford Discover B2-U11-S5,Jr. and Non-share,Junior,Everyday Language
137759,Oxford Discover B2-U11-S6,Jr. and Non-share,Junior,Everyday Language
137848,In the Amusement Park,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Travel and Transportation/**/Countries, Cities and Towns"
137997,Oxford Discover B2-U10-S2,Jr. and Non-share,Junior,Everyday Language
138036,Mike the magician,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
138077,Let's Go 1 Unit 2 Lesson 2,Jr. and Non-share,Junior,Everyday Language
138079,Oxford Discover B2-U12-S3,Jr. and Non-share,Junior,Everyday Language
138080,Oxford Discover B2-U12-S2,Jr. and Non-share,Junior,Everyday Language
138081,Oxford Discover B2-U12-S5,Jr. and Non-share,Junior,Everyday Language
138085,Let's Go 1 Unit 2 Lesson 3,Jr. and Non-share,Junior,Everyday Language
138123,Fun with Grammar: Whenever We Want! ,Jr. and Non-share,Junior,Everyday Language
138160,Let's Go 6 Unit 1 Lesson 2,Jr. and Non-share,Junior,Everyday Language
138219,Oxford Discover B4-U12-S2,Jr. and Non-share,Junior,Everyday Language
138220,Oxford Discover B4-U12-S3,Jr. and Non-share,Junior,Everyday Language
138222,Oxford Discover B4-U12-S5,Jr. and Non-share,Junior,Everyday Language
138223,Oxford Discover B4-U12-S6,Jr. and Non-share,Junior,Everyday Language
138251,Oxford Discover B6-U1-S2,Jr. and Non-share,Junior,Everyday Language
138382,Show and Tell Book 2-U4-S2,Jr. and Non-share,Junior,Everyday Language
138383,Show and Tell Book 2-U4-S3,Jr. and Non-share,Junior,Everyday Language
138385,Show and Tell Book 2-U4-S5,Jr. and Non-share,Junior,Everyday Language
138474,Let's Go 3 Unit 4 Lesson 5,Jr. and Non-share,Junior,Everyday Language
138475,Let's Go 3 Unit 4 Lesson 6,Jr. and Non-share,Junior,Everyday Language
138492,Let's go 5 Unit 4 Lesson 2,Jr. and Non-share,Junior,Everyday Language
138500,Let's Go 2 Unit 4 Lesson 3,Jr. and Non-share,Junior,Everyday Language
138502,Let's Go 2 Unit 4 Lesson 5,Jr. and Non-share,Junior,Everyday Language
138503,Let's Go 2 Unit 4 Lesson 6,Jr. and Non-share,Junior,Everyday Language
138514,The Eye Monsters Present: Idioms About Eyes,Jr. and Non-share,Junior,"Interesting, Fun and games/**/Everyday Language"
138524,American History - President Thomas Jefferson ,Jr. and Non-share,Junior,"Countries, Cities, and Towns/**/Culture, History, and Religion/**/Countries, Cities and Towns/**/History & Culture"
138535,Musical Instruments. What Are They Called?,Jr. and Non-share,Junior,Art & Entertainment/**/Arts and Entertainment/**/Everyday Language
138628,The Village Hero Versus the Zombies,Jr. and Non-share,Junior,"Interesting, Fun and games"
138637,When I Grow Up I'm Going to Be...,Jr. and Non-share,Junior,Jobs/**/Everyday Language
